YGR253C,YJL001W
YGR214W,YMR116C
YGR214W,YHL015W
YGR027C,YLR441C
YKL156W,YLR388W
YDL082W,YKL006W
YBL092W,YLR185W
YDR328C,YLR079W
YLR150W,YLR388W
YGL189C,YOL040C
YLR388W,YOR369C
YDL082W,YLR075W
YOR167C,YOR369C
YBR191W,YLR325C
YGR027C,YOR167C
YHR084W,YMR042W
YGR118W,YPL081W
YDR450W,YPL081W
YKL156W,YPL081W
YLR150W,YPL081W
YOR369C,YPL081W
YOL040C,YPL081W
YDR529C,YJR048W
YJL166W,YJR048W
YBL045C,YFR033C
Q0130,YJR121W
YGL031C,YGL103W
YGL103W,YLR061W
YGL103W,YKR094C
YBR031W,YGL103W
YGL103W,YOR063W
YKR057W,YML024W
YJL190C,YML024W
YML024W,YPR132W
YML024W,YPL090C
YER102W,YML024W
YLR388W,YML024W
YGL031C,YLR344W
YGL031C,YPR102C
YGL031C,YMR242C
YBL027W,YGL031C
YDL136W,YGL031C
YDL191W,YGL031C
YGL031C,YLR185W
YKL180W,YOL127W
YOL127W,YPL143W
YIL148W,YOL127W
YOL127W,YPR043W
YHR141C,YOL127W
YIL018W,YOL127W
YBL027W,YOL127W
YDL136W,YOL127W
YDL191W,YOL127W
YFR032C-A,YJL189W
YBL087C,YJL189W
YIL133C,YJL189W
YBR191W,YJL189W
YFR032C-A,YLR340W
YBL087C,YLR340W
YIL133C,YLR340W
YBR191W,YLR340W
YGL076C,YGL147C
YFR032C-A,YGL076C
YBL087C,YGL076C
YGL076C,YIL018W
YGL076C,YOL120C
YGL076C,YML073C
YBR191W,YGL076C
YGL147C,YKL180W
YDL075W,YGL147C
YGL147C,YHR141C
YGL147C,YNL301C
YDL133C-A,YGL147C
YGL030W,YGL147C
YGL147C,YLR325C
YKL180W,YMR194W
YKL180W,YLR029C
YKL180W,YNL162W
YFR031C-A,YKL180W
YDL184C,YKL180W
YDL082W,YKL180W
YLR029C,YLR344W
YLR061W,YLR344W
YLR344W,YOR312C
YBR031W,YLR344W
YLR344W,YPL131W
YKL006W,YLR344W
YFR032C-A,YPL143W
YPL143W,YPR102C
YBL087C,YPL143W
YOR063W,YPL143W
YIL133C,YPL143W
YBR191W,YPL143W
YIL148W,YMR194W
YHR141C,YMR194W
YIL018W,YMR194W
YBL027W,YMR194W
YDL136W,YMR194W
YDL191W,YMR194W
YFR032C-A,YPR043W
YBL027W,YFR032C-A
YDL136W,YFR032C-A
YDL191W,YFR032C-A
YFR032C-A,YKL006W
YFR032C-A,YLR075W
YLR029C,YPR102C
YIL148W,YLR029C
YLR029C,YMR242C
YHR141C,YLR029C
YIL018W,YLR029C
YBL027W,YLR029C
YDL136W,YLR029C
YDL191W,YLR029C
YLR029C,YLR185W
YLR061W,YPR102C
YHR010W,YLR061W
YLR061W,YMR242C
YJR094W-A,YLR061W
YER117W,YLR061W
YBL092W,YLR061W
YLR061W,YLR185W
YCR031C,YNL178W
YER074W,YNL178W
YJR145C,YNL178W
YDR025W,YNL178W
YLR441C,YNL178W
YNL178W,YOR369C
YDR064W,YML026C
YDR064W,YJR123W
YDR064W,YGR214W
YDR064W,YLR150W
YKR057W,YLR167W
YJL190C,YLR167W
YER102W,YLR167W
YLR167W,YML026C
YCR031C,YGR118W
YCR031C,YIL069C
YCR031C,YHR203C
YBR048W,YCR031C
YCR031C,YDR450W
YCR031C,YGL123W
YCR031C,YOL040C
YJL166W,YPR191W
YGR118W,YOL121C
YIL069C,YOL121C
YOL121C,YOR096W
YKL156W,YOL121C
YOL040C,YOL121C
YKR057W,YPR132W
YKR057W,YPL090C
YER102W,YKR057W
YKR057W,YMR116C
YHR203C,YJL190C
YJL190C,YPL090C
YDL083C,YJL190C
YJL190C,YMR116C
YPR043W,YPR102C
YNL162W,YPR102C
YBR031W,YPR102C
YKL006W,YPR102C
YHR010W,YKR094C
YBR084C-A,YHR010W
YHR010W,YOR063W
YDL075W,YIL018W
YDL075W,YOL120C
YDL075W,YML073C
YJR094W-A,YKR094C
YIL148W,YNL162W
YER117W,YKR094C
YKR094C,YOL120C
YBR084C-A,YIL148W
YBL092W,YKR094C
YKR094C,YML073C
YBR084C-A,YOR312C
YBR031W,YMR242C
YMR242C,YOR063W
YOR312C,YPL131W
YKL006W,YMR242C
YLR185W,YOR312C
YBL087C,YPR043W
YBR084C-A,YJR094W-A
YJR094W-A,YOR063W
YOR063W,YPR043W
YIL133C,YPR043W
YBR191W,YPR043W
YFR031C-A,YHR141C
YIL018W,YNL162W
YBL027W,YNL162W
YDL136W,YNL162W
YDL191W,YNL162W
YDL184C,YHR141C
YDL082W,YHR141C
YER074W,YGR118W
YER102W,YPR132W
YGR118W,YKL156W
YLR388W,YPR132W
YGR118W,YOR293W
YOR167C,YPR132W
YIL069C,YLR287C-A
YIL069C,YOR182C
YDR025W,YIL069C
YER074W,YGL123W
YIL069C,YKL156W
YHL015W,YIL069C
YER074W,YOL040C
YIL069C,YOR293W
YDR450W,YLR287C-A
YDR450W,YOR182C
YLR287C-A,YOR096W
YKL156W,YLR287C-A
YKL156W,YOR182C
YOL040C,YOR182C
YOR182C,YOR293W
YDL083C,YJR145C
YGL123W,YJR145C
YHR203C,YLR441C
YHL015W,YHR203C
YJR145C,YOL040C
YHR203C,YOR167C
YBL072C,YBR181C
YER102W,YPL090C
YBR181C,YMR143W
YBR181C,YGL189C
YLR388W,YPL090C
YBR181C,YOR369C
YOR167C,YPL090C
YBL072C,YML026C
YBL072C,YJR123W
YBL072C,YGR214W
YER102W,YMR116C
YER102W,YHL015W
YBL072C,YLR150W
YBR084C-A,YER117W
YBL087C,YBR031W
YER117W,YOR063W
YBL087C,YKL006W
YBL087C,YLR075W
YFR031C-A,YNL301C
YDL184C,YFR031C-A
YDL133C-A,YIL018W
YGL030W,YIL018W
YHL033C,YIL018W
YFR031C-A,YLR325C
YDL082W,YFR031C-A
YDR025W,YDR450W
YDR025W,YGL123W
YBR048W,YOR096W
YDR025W,YOL040C
YDL184C,YNL301C
YDL133C-A,YOL120C
YGL030W,YOL120C
YOL120C,YOR063W
YHL033C,YOL120C
YLR075W,YOL120C
YLR325C,YNL301C
YML073C,YNL301C
YDL082W,YNL301C
YGR214W,YMR143W
YDL083C,YLR441C
YDL083C,YGR027C
YDL083C,YOR167C
YMR143W,YOR167C
YML026C,YOR096W
YDR450W,YKL156W
YDR450W,YOR293W
YBR084C-A,YDL191W
YBL027W,YDL133C-A
YBL027W,YGL030W
YBL027W,YHL033C
YBR084C-A,YPL131W
YBR084C-A,YDL082W
YDL136W,YGL030W
YDL191W,YGL030W
YDL136W,YHL033C
YDL191W,YHL033C
YDL082W,YDL136W
YDL184C,YLR325C
YDL133C-A,YML073C
YDL082W,YDL184C
YBR031W,YLR185W
YGL030W,YML073C
YBL092W,YOR063W
YHL033C,YML073C
YBR154C,YOR210W
YOR210W,YOR224C
YGL070C,YOR224C
YGR253C,YML092C
YJL001W,YML092C
YLR199C,YML092C
YBL041W,YKL206C
YGR253C,YOR157C
YLR199C,YOR157C
YGL123W,YLR441C
YGL123W,YGR027C
YGL123W,YOR167C
YER094C,YGR253C
YLR185W,YPL131W
YJR123W,YOR096W
YIL133C,YKL006W
YIL133C,YLR075W
YER056C-A,YIL133C
YGL189C,YOR096W
YGL070C,YOL005C
YGL070C,YHR143W-A
YGR214W,YOR369C
YGR027C,YGR214W
YLR441C,YOL040C
YDR404C,YHR143W-A
YKL156W,YOR293W
YKL006W,YLR185W
YBR191W,YKL006W
YLR388W,YMR116C
YMR116C,YOL040C
YBL092W,YBR191W
YHL015W,YOL040C
YGR027C,YLR150W
YLR075W,YML073C
YBR191W,YLR075W
YDL082W,YLR325C
YOL040C,YOR293W
YNR026C,YPL085W
YML024W,YPL081W
YKR057W,YPL081W
YPL081W,YPR132W
YPL081W,YPL090C
YER102W,YPL081W
YLR388W,YPL081W
YOR167C,YPL081W
YGL103W,YGL147C
YGL103W,YIL018W
YGL103W,YOL120C
YBL027W,YGL103W
YDL136W,YGL103W
YDL191W,YGL103W
YGL103W,YML073C
YML024W,YOL121C
YGR118W,YML024W
YIL069C,YML024W
YML024W,YOR182C
YDR450W,YML024W
YKL156W,YML024W
YLR150W,YML024W
YML024W,YOR293W
YDL140C,YOR210W
YDL140C,YGR104C
YGL031C,YOL127W
YGL031C,YMR194W
YGL031C,YLR029C
YGL031C,YNL162W
YBR031W,YGL031C
YGL031C,YHL033C
YLR029C,YOL127W
YLR061W,YOL127W
YOL127W,YOR312C
YNL162W,YOL127W
YBR031W,YOL127W
YOL127W,YPL131W
YKL006W,YOL127W
YJL189W,YKL180W
YJL189W,YNL301C
YBR084C-A,YJL189W
YJL189W,YLR325C
YLR340W,YNL301C
YBR084C-A,YLR340W
YLR185W,YLR340W
YGL076C,YLR061W
YGL076C,YKR094C
YBR084C-A,YGL076C
YGL076C,YOR063W
YER117W,YGL147C
YGL147C,YIL133C
YBL092W,YGL147C
YKL180W,YLR344W
YKL180W,YPR102C
YKL180W,YMR242C
YKL180W,YLR185W
YER056C-A,YKL180W
YLR344W,YPL143W
YIL148W,YLR344W
YLR344W,YPR043W
YHR141C,YLR344W
YIL018W,YLR344W
YBL027W,YLR344W
YDL136W,YLR344W
YDL191W,YLR344W
YOR312C,YPL143W
YBR084C-A,YPL143W
YLR185W,YPL143W
YLR029C,YMR194W
YLR061W,YMR194W
YMR194W,YNL301C
