PROTEIN_U,PROTEIN_V,PUBMED
YFL038C,YML077W,34018207
YKL152C,YNL007C,19536198
YGL129C,YNL306W,32877643
YDR485C,YGR285C,19536198
YAL059W,YMR308C,11805826
YMR066W,YOR351C,11805837
YKL057C,YNL209W,23332755
YMR036C,YPR161C,18316413
YDR140W,YGR264C,33166396
YKL073W,YPL082C,19536198
YBL072C,YJL033W,31062022
YOR128C,YPR084W,11283351
YIR035C,YNL232W,11805826
YCL011C,YJL109C,29263326
YER022W,YIR038C,11283351
YGR262C,YLR438W,11805837
YDL077C,YKL011C,25026036
YMR288W,YOL127W,31062022
YJL190C,YOL077C,31062022
YDL166C,YMR116C,22770215
YDR188W,YIR010W,21107429
YOR276W,YPL048W,29775579
YDL078C,YDR244W,33177075
YLR370C,YNL243W,18467557
YBR010W,YMR288W,22199229
YDR334W,YML041C,25964121
YOR242C,YOR310C,32423992
YER078C,YFL027C,11283351
YNL036W,YPL020C,23712011
YDL229W,YDR444W,19536198
YDR166C,YLR166C,10022848
YBL103C,YLL024C,19536198
YMR176W,YNL330C,23878396
YAL005C,YML062C,19536198
YDL007W,YDR427W,16429126
YGL180W,YKL166C,16319894
YGR246C,YML074C,30593915
YBL041W,YGL011C,22940862
YLR234W,YMR190C,11523801
YER048C,YKL211C,19536198
YDL031W,YIR010W,21107429
YBR059C,YIL148W,16319894
YER125W,YPR159W,26508657
YDL108W,YDL166C,16319894
YLR344W,YOL127W,31062022
YPL139C,YPL181W,16554755
YLR378C,YOR286W,30682149
YDR334W,YOL012C,26116819
YBR118W,YIL031W,28487408
YGR185C,YPL240C,31399574
YHR089C,YOR360C,29738528
YBL032W,YJR045C,19536198
YCR053W,YNL209W,23332755
YDL055C,YGL016W,16429126
YFL044C,YJR139C,22902402
YDR510W,YKL211C,18719252
YDR331W,YDR331W,28374821
YDL029W,YIL062C,18381280
YDR373W,YJL088W,14690591
YDL229W,YPL088W,19536198
YCL025C,YPR020W,16093310
YGR104C,YPL106C,19536198
YCR035C,YGR095C,12837249
YHL044W,YPR086W,11283351
YJR033C,YOR332W,16429126
YDR174W,YGR214W,31062022
YEL013W,YHR195W,31649143
YBR154C,YDL140C,10984524
YDR342C,YMR179W,25228766
YDR190C,YPL235W,10787406
YDL143W,YOR057W,19536198
YER125W,YPL176C,16456538
YDL017W,YDR168W,12111552
YFR031C,YLL034C,16429126
YCR012W,YDL074C,33602814
YGR134W,YPL268W,16554755
YKR081C,YOR272W,11805826
YHL030W,YPL240C,31399574
YBL078C,YHL031C,23904270
YCR035C,YDL111C,16429126
Q0045,Q0275,19858289
YHR084W,YLR180W,12590263
YHR118C,YOR294W,16554755
YDR022C,YPR181C,23904270
YAL043C,YNL222W,30247719
YCR035C,YDL031W,31662437
YJL050W,YPL240C,19536198
YLR002C,YLR344W,31062022
YGL011C,YPR103W,11805826
YDL085W,YDL198C,18467557
YAL049C,YJR045C,19536198
YGR040W,YGR097W,20489023
YLR103C,YLR274W,19106085
YJL125C,YLR344W,31062022
YFR022W,YOR264W,11283351
YGL009C,YPL235W,26831523
Q0050,YNL064C,19536198
YBR011C,YDR188W,19536198
YBL087C,YIR010W,21107429
YDR386W,YHR074W,31351878
YDL077C,YIL047C,25026036
YDR328C,YPL256C,15200949
YNL052W,YNL131W,30463002
YDL229W,YDR356W,19536198
YDR404C,YOL005C,16429126
YDL051W,YFL010C,16606443
YLR335W,YPL240C,31399574
YBR017C,YOR375C,11805837
YDR129C,YIL062C,22615397
YLL026W,YPL119C,19536198
YGL134W,YOR178C,20489023
YDL185W,YDR202C,11283612
YAL016W,YKL080W,18467557
YGL150C,YNL064C,19536198
YGR030C,YNL221C,20086051
YMR104C,YPL106C,19536198
YKL049C,YML124C,21070971
YGL180W,YLR098C,16319894
YDR188W,YJR064W,18511909
YDR054C,YOL133W,27697924
YBL072C,YJR094W,31062022
YLR153C,YML024W,31062022
YMR229C,YOL077C,18467557
YKR048C,YOL121C,31062022
YKL172W,YLR449W,25877921
YCL031C,YDL075W,31062022
YFR004W,YIL075C,21321079
YDR264C,YMR197C,16429126
YDR190C,YGL150C,26798134
YGL180W,YGL208W,16319894
YBR052C,YBR244W,18467557
YJL109C,YPL131W,29263326
YNL068C,YOR372C,14521842
YBR028C,YDL077C,25026036
YBR233W,YER165W,22836166
YEL030W,YER025W,19536198
YOL094C,YOR144C,12912927
YER131W,YLR435W,30201955
YDR229W,YJL110C,22875988
YJL099W,YOR299W,16429126
YHR030C,YIL008W,31564614
YLR044C,YNL183C,11805837
YMR077C,YPR173C,24711499
YBL072C,YDR514C,31062022
YKR062W,YPL122C,22411836
YDR318W,YER084W,11283351
YMR083W,YNL016W,32857852
YHL011C,YNR051C,20508643
YFL002C,YOR206W,30568249
YDR060W,YDR418W,16429126
YMR061W,YPR086W,21835917
YPL043W,YPL043W,25877921
YHR166C,YNL172W,16481473
YHR088W,YPL143W,29557065
YHL025W,YOL121C,31062022
YGR195W,YOR001W,26222026
YBR097W,YPL120W,23904270
YDL017W,YDR052C,8943332
YMR121C,YPL240C,19536198
YBL009W,YKL203C,20489023
YGL206C,YLL026W,27373154
YFL005W,YHR027C,18757749
Q0250,YBL045C,22342701
YIL022W,YJL143W,17452317
YFL022C,YPL240C,15879519
YDR318W,YHR152W,11283351
YBL017C,YDL149W,23904270
YBR010W,YPR018W,14651846
YBR160W,YJL157C,9367986
YER018C,YMR117C,23334295
YJL128C,YMR032W,19841731
YBR034C,YGR009C,14690591
YNL160W,YOL127W,31062022
YGL237C,YIL053W,11805837
YBR017C,YFL037W,11805837
YER165W,YLR074C,23045392
YGL061C,YKR037C,11799062
YJL054W,YOR297C,17113393
YMR104C,YOL082W,20489023
YER032W,YJR110W,11283351
YIR003W,YIR003W,34081539
YLR441C,YOL012C,31062022
YBR039W,YLR393W,29093463
YCR071C,YMR024W,16554755
YJL109C,YML073C,29263326
YEL026W,YNL299W,32561742
YBR247C,YDR299W,25474739
YGL191W,YJL166W,22342701
YDR113C,YGL190C,32591482
YLR075W,YPR144C,29361028
YHR197W,YOR063W,23142978
YMR017W,YPL232W,17714435
YDR388W,YGR188C,16554755
YKL092C,YOL040C,31062022
YJL190C,YMR242C,31062022
YGR214W,YHR089C,31062022
YBR154C,YML024W,31062022
YDR171W,YPR171W,19536198
YDR211W,YOL040C,31062022
YGL197W,YLR377C,20457600
YAL005C,YDR122W,19536198
YGL137W,YGR086C,11805837
YJL058C,YNL201C,11283351
YDL229W,YOL082W,19536198
YAL005C,YOR261C,19536198
YDR414C,YDR414C,16093310
YHR052W,YPL043W,27077951
YMR068W,YNL047C,11283351
YML024W,YPR169W,31062022
YDR309C,YMR238W,10688190
YBL090W,YIL093C,16554755
YGR275W,YPL081W,31062022
YMR323W,YPL106C,19536198
YAR007C,YML032C,18703507
YFL005W,YOR207C,30593915
YBR018C,YGL137W,11805837
YLR150W,YOL121C,31062022
YDL059C,YDR394W,11805837
YDR138W,YOL127W,31062022
YGL111W,YGR218W,26673895
YAR018C,YLR342W,20489023
YHR010W,YPL081W,31062022
YDR372C,YGL137W,22889169
YDR176W,YGL112C,25216679
YDR503C,YER113C,18467557
YAL005C,YOR058C,19536198
YJR045C,YOR232W,23864706
YDR214W,YFL037W,16429126
YGL237C,YKR048C,11805837
YLR055C,YMR223W,30249596
YBR098W,YML032C,29738624
YIL133C,YIL133C,29557065
YBL003C,YOR058C,16554755
YDR190C,YOR310C,25060708
YAL041W,YER114C,28751498
YER110C,YFR028C,11805837
YKR081C,YMR290C,21926967
YDR477W,YGL115W,30649305
YCL010C,YEL026W,21734642
YCL014W,YCR038C,22553209
YDL126C,YDR283C,11805837
YKR082W,YMR308C,10678175
YER094C,YML092C,11805826
YLR315W,YPL032C,22875988
YEL051W,YJR033C,11283612
YDL131W,YFR004W,18757749
YJL109C,YPL217C,21724601
YJL008C,YNL312W,11805837
YGR218W,YJR072C,26673895
YGR040W,YKR048C,11805837
YDR369C,YMR224C,22072981
YMR192W,YOR264W,11283351
YBL046W,YJL179W,19536198
YKL006W,YOR206W,26642313
YBR234C,YIL062C,15485833
YDR130C,YER133W,11805837
YJR074W,YPR070W,30249596
YKR095W,YOR254C,19536198
YKL103C,YKL103C,19343713
YBR198C,YDR259C,11283351
YAL011W,YDR334W,20332092
YLR369W,YPL135W,12756240
YJL014W,YJL190C,31062022
YER036C,YKR057W,16260602
YGR162W,YPR110C,26777405
YGR254W,YJR045C,16429126
YDR364C,YDR364C,21386897
YDR201W,YEL043W,22875988
YAR009C,YMR186W,19536198
YBR057C,YDR356W,22875988
YGR155W,YJL014W,19536198
YGL123W,YOR326W,31062022
YNL113W,YPR110C,18719252
YDR225W,YHR134W,32130911
YGL200C,YMR215W,16093310
YER143W,YLL039C,28525741
YBL072C,YGR145W,31062022
YCR092C,YOL090W,14681455
YGR183C,YPR191W,25683140
YGL123W,YOR004W,31062022
YGL137W,YPL240C,11805837
YGR285C,YJL080C,16429126
YML114C,YPL129W,16554755
YDR044W,YGL112C,11805826
YEL041W,YHR115C,10688190
YEL037C,YOR117W,12200120
YGR116W,YPL081W,31062022
YDR405W,YPL132W,32877643
YKR068C,YML077W,17027922
YDR004W,YIL132C,23460207
YER118C,YJL062W,16093310
YDL143W,YGR245C,16554755
YNL064C,YOL098C,19536198
YKL197C,YPL031C,16319894
YDR175C,YOR369C,31062022
YLR157C,YLR295C,11283351
YKL088W,YMR214W,19536198
YLR090W,YPL069C,19536198
YIR038C,YNL209W,23332755
YGL018C,YHR064C,19536198
YBR081C,YLR055C,15260971
YBR289W,YPL178W,21558325
YGR233C,YLL026W,27373154
YNL064C,YPL111W,19536198
YLR355C,YOR369C,31062022
YBR142W,YJL050W,16449635
YCL035C,YFR004W,20170199
YLR293C,YMR308C,17485461
YER165W,YML117W,16429126
YBL032W,YDR224C,22199229
YBR194W,YML007W,21386897
YMR229C,YNR051C,20508643
YBR009C,YIL070C,16554755
YMR223W,YPL254W,16888622
YBL010C,YLR424W,14690591
YBR034C,YDR432W,22673836
YGR214W,YGR275W,31062022
YGR178C,YPL235W,26831523
YDR398W,YPL216W,11283351
YJL008C,YPL151C,11805837
YDR308C,YPL129W,12052880
YBL044W,YLR074C,11805837
YGR252W,YMR223W,14563679
YMR167W,YNL082W,10938116
YDL007W,YDR448W,21734642
YBL050W,YBL078C,10837468
YNL154C,YOR208W,16319894
YLR090W,YNL212W,19536198
YCL010C,YMR223W,15657441
YDR356W,YFR002W,9585415
YJL044C,YLR295C,11283351
YLR115W,YNL222W,12853609
YDR356W,YNL225C,28814505
YFR031C,YGL122C,33137177
YGL016W,YOR185C,10617640
YDR303C,YIL126W,16554755
YBL002W,YBR245C,20190278
YOR090C,YPR016C,11805837
YLR106C,YML124C,16429126
YJL106W,YNL073W,16319894
YAL005C,YOR254C,22940862
YHR089C,YNL186W,18467557
YDR064W,YOR361C,31062022
YLL024C,YOR281C,19536198
YCL032W,YKL016C,22875988
YLR441C,YNL175C,31062022
YGL030W,YLR441C,31062022
YDR190C,YFL037W,26831523
YBR189W,YKL068W,29033133
YHR122W,YOR108W,14690591
YMR290C,YOL041C,16429126
YLR222C,YNL007C,19536198
YDL229W,YIL095W,19536198
YPL081W,YPR088C,31062022
YMR139W,YOL128C,21460040
YMR224C,YNL250W,10219078
YDR427W,YHR200W,16429126
YDL148C,YMR229C,12150911
YBL103C,YPR088C,21765803
YFR004W,YPR108W,28106073
YGR218W,YOR140W,26673895
YDR404C,YJL140W,17056745
YFL013C,YOR141C,16554755
YBR081C,YDR392W,25713136
YBR093C,YOR353C,14690591
YDR427W,YOR209C,16554755
YGR136W,YJR083C,19841731
YAL024C,YDR050C,14660704
YFR004W,YGL173C,20170199
YLR117C,YNL147W,12509417
YIR003W,YJL020C,18467557
YIL115C,YLR347C,9412460
YGL237C,YOR353C,14690591
YLR117C,YPR101W,11842115
YMR054W,YOL018C,16107716
YML025C,YOL040C,31062022
YPL081W,YPR144C,31062022
YJL190C,YJR002W,31062022
YLR337C,YMR109W,11901111
YLR368W,YMR035W,10688190
YPL248C,YPR056W,17919657
YGR081C,YOR167C,30653518
YDL087C,YLR298C,16554755
YAR014C,YDR480W,19841731
YGR162W,YNL007C,19536198
YDR328C,YOR080W,16751663
YGR162W,YLL045C,16429126
YDL229W,YKL099C,19536198
YBL088C,YBR009C,11805826
YDR533C,YML074C,19536198
YGL044C,YMR270C,11283351
YLL024C,YMR153W,19536198
YIL159W,YMR280C,22875988
YDL156W,YNR003C,22199229
YBR175W,YHR119W,11742990
YER165W,YGR162W,25671604
YFR037C,YGL066W,21734642
YBR081C,YOL040C,31062022
YDR298C,YJR121W,18937496
YDL235C,YIL147C,17559414
YMR047C,YOR344C,11283351
YDR201W,YKL052C,11799062
YDR069C,YPL084W,17446860
YDR063W,YGL239C,10688190
YGR059W,YHR107C,22875988
YCR089W,YMR022W,14690591
YDL089W,YFR028C,25569132
YBR118W,YLR340W,17307145
YDL115C,YPR187W,21504834
YGL197W,YLR310C,19841731
YGL040C,YNL209W,23332755
YDR171W,YEL077C,19536198
YIL137C,YJL136C,27580715
YGR252W,YOL039W,14660704
YDL153C,YPR029C,11283351
YDL029W,YLL013C,11805837
YBR146W,YML065W,20595233
YLR060W,YPL031C,16319894
YGR092W,YOR317W,11805837
YBR189W,YHR027C,18757749
YKL078W,YLL024C,19536198
YDR334W,YPL235W,16554755
YGR089W,YNL084C,22875988
YDR110W,YIL061C,9207794
YBL026W,YMR268C,16554755
YER125W,YOR156C,23443663
YDR118W,YGL254W,17634282
YKR081C,YMR049C,21926967
YAL028W,YNL307C,16319894
YBR216C,YML007W,11805826
YKR048C,YOL127W,31062022
YDR158W,YFR004W,20170199
YHL015W,YMR116C,31062022
YHL015W,YJL014W,31062022
YHR008C,YOL016C,21460040
YEL051W,YOR332W,23071676
YDL002C,YDR190C,15607974
YGL137W,YKL029C,11805837
YAL005C,YPR164W,19536198
YHR174W,YNL127W,11805826
YFR037C,YML024W,31062022
YOR074C,YPR086W,11283351
YGL055W,YIL027C,18467557
YEL023C,YML109W,10688190
YDR450W,YNL209W,23332755
YDR099W,YOL062C,11805837
YGR076C,YGR220C,11805826
YNL229C,YNL229C,22176525
YER012W,YFR052W,19412159
YGR103W,YHR197W,21777812
YIL076W,YML067C,16429126
YJR077C,YNR017W,25124039
YBR171W,YOR324C,21097665
YLL026W,YPL085W,27373154
YJR097W,YOL100W,21460040
YCL010C,YMR049C,21734642
YCR035C,YLR344W,31662437
YER148W,YML015C,7667272
YBR198C,YER155C,21734642
YDL143W,YDR075W,11805837
YBR079C,YEL005C,22875988
YDL156W,YKL029C,22199229
YDR060W,YPL043W,23209026
YER087C,YLR378C,23497013
YDL055C,YDR385W,18467557
YBR009C,YER114C,22199229
YOL010W,YPL217C,12150911
YLR441C,YOR261C,31062022
YPR019W,YPR175W,31728581
YGR275W,YLR033W,16554755
YER142C,YGL049C,11805837
YDL209C,YLR117C,19016306
YBR010W,YPR144C,22199229
YML049C,YPL213W,16429126
YDR497C,YDR497C,18467557
YIL135C,YML016C,18467557
YHR187W,YPL086C,11296232
YDR087C,YHR088W,15100437
YGL158W,YHR099W,20489023
YDR477W,YPR143W,16319894
YHR080C,YPL106C,19536198
YHR082C,YLR344W,31062022
YKR054C,YNL161W,22875988
YAL016W,YLL024C,19536198
YJR016C,YLR378C,30682149
YML063W,YNL207W,14690591
YBR010W,YER110C,17507373
YFR004W,YNR053C,20170199
YER139C,YHR143W,19394294
YBR106W,YKL006W,27905431
YDR214W,YPL240C,26804907
YDR267C,YMR190C,14690591
YDR103W,YLR362W,18077328
YDR472W,YKR068C,10655498
YBR136W,YGL066W,21734642
YKL068W,YLR347C,19098896
YAL041W,YNL298W,28304276
YGR135W,YPR103W,17892321
YDL040C,YDR362C,30593915
YDR432W,YHR089C,10896665
YAR033W,YGL051W,12925749
YLR320W,YMR261C,26849847
YCL011C,YNL298W,20489023
YDR132C,YJL218W,10688190
YLL004W,YPL106C,19536198
YBR015C,YDL229W,22940862
YML065W,YOR078W,20595233
YDR392W,YGL112C,14718168
YAL032C,YGR071C,12554883
YDL226C,YDR264C,8524293
YLL024C,YPR193C,19536198
YNL209W,YOL076W,19536198
YER022W,YNR035C,28575439
YEL030W,YIL156W,19536198
YJR002W,YNL096C,15590835
YAL038W,YFR004W,16284124
YMR229C,YPR137W,16429126
YAL005C,YNL064C,23227221
YML030W,YOR324C,22875988
YIL050W,YML065W,20595233
YIL026C,YJL074C,16554755
YBR009C,YLR442C,18794362
YER145C,YLL024C,22940862
YBR079C,YPL031C,16330754
YER177W,YHR121W,16554755
YDL055C,YGL195W,16429126
YGR218W,YNL308C,26673895
YKR092C,YNL002C,23945946
YBR278W,YDR121W,18719252
YDL229W,YKR043C,19536198
YDR013W,YDR489W,32075754
YHR005C,YLR240W,16839886
YDL077C,YLR148W,29870720
YAR002W,YKL186C,12411502
YBR231C,YDR334W,30309918
YDR064W,YJL014W,31062022
YBR234C,YLR370C,16429126
YBR261C,YFL059W,18719252
YDR363W,YOR117W,15610744
YDR064W,YMR116C,31062022
YHR064C,YNL161W,19536198
YER019C,YLR378C,23497013
YGR254W,YOL040C,31062022
YER070W,YMR214W,19536198
YJL143W,YNR017W,22613836
YGR059W,YJL187C,22875988
YFL039C,YMR092C,16421248
YKR036C,YMR228W,16554755
YHR167W,YLR423C,18719252
YHR102W,YOL086C,17892321
YDR301W,YOR250C,21993299
YDR436W,YKR072C,20489023
YDR201W,YPL106C,19536198
YER143W,YER143W,18562697
YML042W,YMR186W,19536198
YDL156W,YDR135C,25817432
YBL003C,YPL082C,19106085
YJL081C,YJR082C,16554755
YLR200W,YOR080W,19536198
YER006W,YOR206W,16429126
YBR162W,YMR022W,14690591
YBL004W,YLR074C,11805837
YIL021W,YPR187W,22067100
YBL069W,YMR022W,14690591
YER029C,YPR182W,11805826
YBR251W,YML024W,31062022
YLL036C,YLL036C,10092627
YDR473C,YPL004C,18719252
YBL085W,YER081W,19841731
YLR344W,YNL306W,31062022
YAR014C,YDR277C,19841731
YBR095C,YPR023C,16286007
YLR052W,YPL218W,16429126
YFR044C,YJR045C,25792736
YGR103W,YMR047C,10684247
YOR341W,YPR110C,14759368
YOR326W,YPR032W,25404740
YDL025C,YMR205C,21460040
YDR303C,YML065W,20595233
YNL209W,YOR001W,23332755
YDR146C,YLR167W,18787112
YBR107C,YBR211C,14633972
YGL004C,YIL007C,20471945
YGL106W,YNL267W,18221262
YDR221W,YER093C,22875988
YDR405W,YNL005C,16554755
YIL115C,YOR046C,10523319
YML016C,YPL031C,16319894
YJR140C,YPL106C,19536198
YGL119W,YLR304C,28539364
YBR034C,YPL158C,14690591
YER125W,YHR165C,11290703
YHR069C,YOL021C,28877463
YBR143C,YHR203C,29139201
YLR354C,YPR152C,16606443
YDL229W,YKR018C,19536198
YDR394W,YHR027C,9741626
YEL037C,YFR052W,21619884
YMR308C,YOR098C,25942622
YDR471W,YNR051C,20508643
YPL106C,YPL144W,19536198
YDL229W,YDR121W,19536198
YDL082W,YOR272W,16429126
YLR328W,YLR328W,10688190
YDR372C,YIL076W,18635803
YAL005C,YBR067C,19536198
YDR254W,YIR010W,26157162
YBL072C,YPL240C,31062022
YHR082C,YNL154C,16319894
YDL229W,YGR234W,19536198
YCR031C,YLR003C,31062022
YJL168C,YJL184W,16606443
YKR014C,YML064C,11283351
YDR328C,YLR368W,23000173
YER027C,YJL089W,9121458
YDR021W,YNL209W,23332755
YCL061C,YDR489W,32075754
YGL066W,YNL138W,21734642
YOR018W,YPR165W,26459639
YLL024C,YOR140W,19536198
YIL079C,YJL050W,22402490
YDL043C,YKL074C,7926772
YPL188W,YPL240C,15879519
YDR171W,YML017W,19536198
YHR023W,YNL209W,19536198
YDL225W,YLR378C,30682149
YIL021W,YLR081W,28043953
YHR119W,YJL008C,12096120
YDL077C,YPL045W,15889152
YDR270W,YNL259C,9346482
YFR010W,YMR314W,16429126
YJL194W,YOR080W,23129771
YBL078C,YHR171W,25042851
YMR039C,YMR277W,27924005
YER094C,YOR157C,11595789
YGR121C,YGR121C,31454312
YOR096W,YOR310C,16429126
YOR117W,YPL031C,16319894
YJL121C,YJL121C,18719252
YBR272C,YGL048C,19446322
YGR113W,YJR135C,12925767
YER053C,YGR192C,22940862
YAL021C,YGR134W,11805826
YGL212W,YLR314C,22875988
YIL072W,YIL072W,29186573
YBR217W,YOR151C,11805837
YDR138W,YER125W,20846524
YMR243C,YMR243C,31454312
YIL021W,YNL251C,33888559
YCR002C,YHR107C,14993234
YAL029C,YKL130C,18467557
YDR164C,YGL123W,31062022
YHR001W,YPR191W,25683140
YIL026C,YJL074C,9990856
YGL076C,YIL021W,28043953
YBR154C,YGR104C,11383511
YDL195W,YJL127C,25228766
YIL084C,YNL330C,19806189
YJR068W,YJR121W,11805837
YNL209W,YOL078W,19536198
YLR150W,YMR216C,16319894
YCL059C,YIL091C,29263326
YKL180W,YOR293W,31062022
YHR118C,YPL001W,16554755
YDR056C,YDR533C,19536198
YBR193C,YNL236W,27688401
YFR051C,YML067C,16429126
YNL209W,YOR174W,19536198
YDR418W,YOR276W,29775579
YAL005C,YIL145C,19536198
YDR101C,YNL301C,16429126
YHR083W,YOR347C,14690591
YLL057C,YNL064C,19536198
YOR233W,YOR294W,20489023
YLR447C,YOR239W,11283351
YDR280W,YGR195W,15951817
YDL164C,YLR293C,34646016
YHR064C,YOR362C,19536198
YDL047W,YFR019W,11805826
YAL005C,YOR037W,22940862
YIL094C,YMR012W,16429126
YBR072W,YML092C,32868373
YHR114W,YNL271C,19841731
YER116C,YLR295C,11283351
YGR209C,YMR186W,23414292
YBR251W,YNR036C,16554755
YGR158C,YOR001W,28877463
YCR031C,YGL066W,31062022
YGL116W,YNL064C,11805837
YGL031C,YPR016C,27775710
YFL024C,YNL136W,18212056
YJL109C,YNL002C,29263326
YDR283C,YPL204W,16429126
YBR114W,YGR192C,11805826
YAL005C,YLR423C,19536198
YBR195C,YOR308C,11805837
YER120W,YPL240C,26804907
YKL166C,YPR160W,11805837
YBR154C,YML010W,16429126
YHR066W,YHR088W,11864607
YER016W,YJR123W,14660704
YBR041W,YMR246W,12601005
YHR169W,YPL081W,31062022
YAL005C,YKL069W,19536198
YLL060C,YLL060C,18719252
YHR014W,YPL204W,21460040
YGR072W,YNL016W,32857852
YCR079W,YMR277W,11283351
YCL030C,YHR027C,18757749
YMR193W,YNL306W,32877643
YDL075W,YPL037C,20410297
YMR128W,YPR144C,29361028
YGR092W,YGR264C,16319894
YBR175W,YHR064C,11805826
YAL005C,YKL078W,19536198
YBR234C,YLR044C,11805837
YBR081C,YHR099W,29626083
YCL069W,YCR075C,16093310
YBL003C,YGL120C,19106085
YHR083W,YNL055C,29348211
YGL251C,YMR167W,33823531
YDR331W,YHR133C,16093310
YDR392W,YMR223W,15657441
YDL213C,YDR091C,11805837
YGL076C,YPL093W,16429126
YMR080C,YPL081W,23801788
YJR017C,YOR198C,16606443
YDL209C,YLL026W,19536198
YJL098W,YOR244W,11805837
YBR020W,YKL193C,11805837
YER013W,YPL151C,29146870
YJL026W,YML095C,11805837
YER006W,YGR245C,26823502
YBR234C,YIL143C,18467557
YKR057W,YLR113W,29738528
YDL003W,YFR037C,31582854
YDL047W,YNL037C,11805837
YDR334W,YOL090W,18467557
YBL099W,YDR450W,31062022
YGR104C,YIL021W,14749386
YJR076C,YLR454W,22875988
YGR095C,YOL142W,11805826
YJR097W,YOL006C,19536198
YBR009C,YOR064C,19581291
YGL123W,YPL127C,31062022
YDL075W,YHR169W,31062022
YHR052W,YKR057W,12374754
YFL039C,YPL235W,10952318
YBR009C,YER125W,22199229
YDR063W,YHR064C,19536198
YLR312W,YOL040C,31062022
YFL037W,YGR214W,31062022
YDL058W,YNL007C,19536198
YJL109C,YOL127W,31062022
YDR264C,YJR086W,8649369
YBR202W,YJL072C,21362622
YER151C,YGL123W,20508643
YER018C,YMR117C,22875988
YCL016C,YGR218W,26673895
YLR344W,YPL131W,31062022
YAL005C,YPR173C,19536198
YER036C,YHR027C,18757749
YEL055C,YPL106C,19536198
YML056C,YOL040C,31062022
YJR112W,YKL049C,14633972
YER002W,YPL093W,29294095
YBR181C,YIL021W,28043953
YCR052W,YLR321C,21701592
YMR022W,YOR043W,14690591
YLR254C,YNL272C,22875988
YOL139C,YOR276W,11805837
YBR290W,YCR024C,16093310
YLR248W,YPL164C,33199619
YBL023C,YLR103C,21362622
YLL024C,YPL097W,19536198
YDR393W,YOR195W,22875988
YAL005C,YPL012W,19536198
YJL080C,YMR242C,16429126
YDR383C,YPL002C,11283351
YGR193C,YMR106C,11805837
YBR203W,YJL179W,19536198
YBL072C,YGL019W,31062022
YER022W,YLR071C,16554755
YGL120C,YNL301C,29557065
YJL097W,YPR182W,14690591
YBR081C,YOL148C,21734642
YBL084C,YIR025W,12477395
YIL115C,YLR347C,15557115
YBR009C,YGL207W,16429126
YHR013C,YKL156W,31062022
YDR414C,YFR024C,19841731
YDR416W,YLR424W,16357217
YGR159C,YHR064C,19536198
YBR175W,YJR094W,16554755
YEL030W,YER103W,19536198
YGL156W,YOL082W,11283351
YDL229W,YDR370C,19536198
YJR103W,YMR186W,31399574
YGL003C,YPR119W,18519589
YLL024C,YNR048W,19536198
YBR064W,YOR317W,11283351
YDR321W,YNL007C,19536198
YDL133W,YJL097W,14690591
YJL019W,YPL078C,30417519
YBL014C,YER148W,8895657
YBR131W,YGL124C,14681455
YHR133C,YLR450W,18467557
YHL004W,YLR424W,14690591
YLR320W,YOR261C,26849847
YMR229C,YOL077C,23209026
YMR223W,YOL148C,23599000
YJR144W,YOL121C,31062022
YHR064C,YOR138C,19536198
YER029C,YNL189W,21558325
YPL016W,YPL129W,28249159
YGL180W,YLL019C,16319894
YML032C,YML032C,18482582
YNL232W,YOR076C,11805826
YKL104C,YLR452C,16429126
YDL075W,YLR344W,31062022
YBR017C,YNL037C,11805837
YIL040W,YPL106C,19536198
YIL159W,YOR122C,11489916
YDL123W,YJL179W,19536198
YLL033W,YPL204W,25971801
YDL078C,YOL126C,33177075
YDL115C,YIL021W,21048197
YDL077C,YER112W,25026036
YBR136W,YFL013C,26798134
YER171W,YMR116C,11805826
YDR394W,YKL211C,16429126
YJL019W,YNL037C,30417519
YEL030W,YKL195W,19536198
YER029C,YLR424W,21558325
YKL156W,YMR239C,31062022
YCL032W,YLR362W,21863494
YBR181C,YML088W,31062022
YLL024C,YNL157W,19536198
YKL214C,YNL209W,23332755
YDL054C,YGR173W,11283351
YBR272C,YPR103W,19217412
YCL054W,YKR081C,21926967
YLR453C,YNR071C,11283351
YDL147W,YOR362C,21289098
YBR274W,YMR102C,20489023
YMR223W,YMR236W,23599000
YLR293C,YPL016W,34646016
YIL076W,YMR179W,25228766
YLR383W,YNR023W,33301732
YIL031W,YOR093C,23712011
YDR017C,YFR031C,22940862
YKR065C,YLR241W,11283351
YIL021W,YNR010W,11470794
YDR233C,YHR200W,18757749
YER018C,YMR117C,11179222
YLR051C,YPL081W,31062022
YHR086W,YLL036C,11804584
YBR198C,YMR049C,21734642
YMR128W,YPL139C,16429126
YFR008W,YMR052W,11283351
YER133W,YNL209W,19536198
YDR450W,YHR082C,31062022
YDR293C,YML064C,11805837
YDR016C,YGL061C,11782438
YBL078C,YDR192C,32453403
YGR097W,YGR218W,26673895
YKL130C,YLR274W,16429126
YDL225W,YJR076C,15282341
YDL130W,YDR399W,11283351
YER071C,YKL007W,16429126
YDR381W,YER029C,21558325
YGL003C,YIL142W,12887895
YGL187C,YKL150W,23864706
YBL105C,YNL154C,16319894
YLR087C,YOR001W,28539363
YDL060W,YPL266W,16429126
YLR441C,YPR169W,31062022
YGL206C,YOR327C,18467557
YDL075W,YML112W,31062022
YHR088W,YPL093W,23874617
