PROTEIN_U,PROTEIN_V,PUBMED
YDL136W,YDL229W,27882919
YBR105C,YDL229W,25172955
YDL005C,YGR104C,19057509
YKL171W,YLR455W,16319894
YLR383W,YML028W,33301732
YGR130C,YIL121W,28183979
YJR053W,YMR055C,27159239
YOR117W,YOR303W,18757749
YDR527W,YJR072C,23324351
YGR218W,YPL020C,23712011
YDR450W,YLR175W,31062022
YHR170W,YLR320W,26849847
YER177W,YPR115W,20489023
YEL005C,YPR046W,22875988
YMR047C,YMR206W,11283351
YDR510W,YHR134W,26349035
YDR484W,YPL106C,19536198
YDL036C,YDL229W,19536198
YJL134W,YML029W,18719252
YDL126C,YDR510W,15590687
YAL005C,YJL070C,19536198
YGL174W,YLR116W,16314500
YGR129W,YPR101W,11884590
YDL145C,YPR190C,28096404
YDR075W,YMR028W,15447631
YCR052W,YPL082C,18596064
YCL056C,YNL131W,18719252
YOR123C,YPR190C,28096404
YER028C,YJL124C,10900456
YAL038W,YFR004W,18757749
YDL143W,YDR407C,19536198
YMR183C,YPL232W,17714435
YGR252W,YMR236W,21734642
YAL005C,YLR442C,19536198
YNL055C,YPL240C,26804907
YDL101C,YKL060C,11805837
YHR200W,YLL039C,18995839
YDR409W,YLL024C,19536198
YBR217W,YGL016W,11805837
YBR010W,YJR007W,22199229
YPL047W,YPL240C,19536198
YDL059C,YGR282C,11805837
YBL003C,YEL030W,19536198
YAL005C,YBR079C,25452130
YIL149C,YNL225C,21700874
YOL021C,YOR001W,28877463
YBR202W,YPR019W,17895243
YIL021W,YOR116C,34543624
YBR261C,YOL143C,18719252
YGR005C,YLR005W,9032243
YGL086W,YIR010W,24402315
YDL025C,YEL030W,19536198
YJL034W,YJL092W,19536198
YFL009W,YOL133W,10880467
YJL111W,YNR051C,20508643
YAL005C,YKL118W,19536198
YLR002C,YPR016C,16095611
YPL104W,YPL106C,19536198
YAL005C,YIL108W,19536198
YCR088W,YLL024C,19536198
YGR104C,YOL051W,19940160
YAL005C,YLR287C,19536198
YER036C,YHR169W,16429126
YDL192W,YJL099W,23000721
YER036C,YHL033C,16429126
YAL038W,YIL142W,19536198
YLL018C,YOL121C,31062022
YDR164C,YPL232W,10427089
YIL142W,YLR016C,19536198
YDL229W,YPR056W,21876155
YMR093W,YPL126W,25501974
YDR427W,YGL201C,11805826
YNR053C,YPL146C,23874617
YDR122W,YGR249W,16319894
YDR145W,YHR099W,25216679
YPL246C,YPL246C,22615397
YIL133C,YPL009C,27580715
YGR200C,YJR127C,11805837
YHR190W,YOR075W,16093310
YER054C,YJL179W,19536198
YDR101C,YNR053C,27390266
YBL074C,YDR283C,11805826
YBL035C,YNL209W,23332755
YBR130C,YLR274W,16429126
YCR092C,YLL026W,19536198
YDR211W,YLR291C,10805739
YJR144W,YLR344W,31062022
YJL008C,YOR120W,19536198
YBL105C,YPL106C,19536198
YBR088C,YDR097C,23267104
YPL249C,YPR199C,22875988
YDR381W,YOR270C,16429126
YBR010W,YJL115W,24824343
YHR072W,YLR175W,12242285
YCR086W,YGR155W,10688190
YGR024C,YNL189W,11283351
YLR221C,YPR115W,11283351
YDR334W,YNL107W,31914392
YEL030W,YHR118C,19536198
YGL206C,YGR098C,25822502
YBR072W,YPR161C,19536198
YBR011C,YOR011W,16606443
YDR510W,YFR031C,15590687
YHR200W,YLR406C,17499717
YGR119C,YLL024C,19536198
YDR142C,YOR326W,11805837
YKL052C,YKR083C,20730753
YFL021W,YMR186W,19536198
YJR074W,YPL237W,30249596
YER148W,YNL039W,7568218
YDL126C,YMR059W,11805837
YBR188C,YLL036C,11804584
YBR230C,YEL031W,22461620
YHL025W,YOR290C,28249159
YFR052W,YHL030W,11805826
YJR035W,YKL054C,11904382
YDR404C,YJL168C,12736296
Q0250,YGL187C,27662906
YHR114W,YOR181W,17892321
YGL048C,YGR262C,11805837
YBR079C,YMR309C,16429126
YDR091C,YOR117W,18757749
YNL157W,YPR181C,20471941
YJL089W,YPL106C,19536198
YDL101C,YPL240C,19536198
YKL009W,YNR053C,33037216
YEL002C,YGL022W,32938717
YBL077W,YDL229W,19536198
YCR031C,YPL061W,31062022
YDL077C,YNL321W,25026036
YBR275C,YLR090W,19536198
YDL229W,YGL175C,19536198
YDL229W,YGR033C,19536198
YBR278W,YNL262W,10878005
YKL054C,YPL106C,19536198
YNL154C,YNL154C,28941588
YLR293C,YNL215W,34646016
YHR061C,YML109W,11489916
YLR417W,YPL002C,11283351
YGR085C,YLR288C,11283351
YDR235W,YDR240C,34349264
YBR160W,YEL032W,14574415
YDL070W,YNL209W,19536198
YHL021C,YML001W,25948753
YDR214W,YMR186W,19536198
YLR324W,YLR378C,30682149
YDL229W,YGR110W,19536198
YIL160C,YIL160C,9402066
YAL005C,YHL034C,25452130
YDR344C,YOR196C,11283351
YDL008W,YKL022C,16364911
YHL039W,YPL106C,19536198
YGR058W,YML064C,11283351
YNL107W,YOL012C,16299513
YFR014C,YNL307C,16319894
YLR441C,YMR024W,31062022
YER172C,YPR182W,10377396
YDR507C,YOL088C,22875988
YMR108W,YOL062C,11805837
YKL078W,YLR259C,11805837
YDL213C,YJL109C,16429126
YGL115W,YPR190C,28096404
YDR113C,YGL116W,19475395
YDR138W,YNL189W,11805837
YDR189W,YOR075W,15958490
YBR162C,YMR214W,11805826
YLR268W,YOR007C,21835666
YDR490C,YGR086C,21118957
YFL045C,YOR369C,31062022
YDR446W,YGL212W,15263065
YGR140W,YIR010W,31118239
YLL036C,YPR101W,11018040
YNL097C,YPL139C,16429126
YHR090C,YJL081C,16554755
YGL126W,YKR093W,33033181
YBR079C,YGR214W,20584985
YER093C,YIR010W,21107429
YBR245C,YER164W,16429126
YDR190C,YLR029C,26831523
YDR385W,YGR054W,21915340
