P20676
Q06665
P22203
Q06651
P47074
P80210
P39113
P36012
P22133
P39968
Q04272
P43549
Q08811
P47116
P38627
Q03020
Q12086
Q08491
P40361
Q08886
P39727
P53757
Q04368
P38315
Q12077
P43581
P02294
P47128
P38268
P32797
P40215
P53824
P36016
P35193
P53949
P00950
P21374
Q06604
P54839
P43619
P53960
Q08872
P39525
Q12071
O75012
P32529
Q02896
Q04638
P53264
P25621
P38732
P14680
Q7LIF2
P12753
P36027
P53300
Q04924
O13582
P36149
P02365
P47031
P14681
P53086
P38314
Q03690
P53825
P33734
P06738
Q03178
P52593
P35192
P43607
P53079
P39013
P38745
P53106
P38131
Q12129
P38244
P34909
P47123
P37261
P18410
Q01852
P41805
Q04429
P00931
P21373
Q12455
P22140
P38881
P28320
P53507
P38121
Q08417
P53250
P53617
P53552
P53258
P54730
Q06406
Q08910
P46151
P53847
Q04121
Q03102
P41902
P17558
P49017
Q08949
Q03919
Q06523
P40560
Q03831
P26793
P10507
Q12110
Q12259
Q08226
P10355
P11484
P25583
P53966
P17967
P53269
Q07879
P16550
Q08912
Q12486
P45976
P49956
Q03012
P36159
P13393
P38236
P38353
P54885
P32579
P40157
Q05946
Q03976
P35724
Q03373
P38115
Q12420
P54072
Q06096
P47079
P32389
Q02749
Q03778
P27697
P53831
P39011
P53326
O13532
Q03233
P53868
Q12499
P38068
P40061
P38343
P38156
P38710
Q06032
P25454
P38874
P37012
Q06211
P46947
P38124
P35206
P28777
P38985
Q04377
P38699
P38210
Q03964
Q07729
P07284
P38287
P27476
P27801
Q12471
P53301
P53090
Q05776
P53047
P38241
P40048
P40578
P53550
Q05123
P36164
P43605
P53974
Q08240
P50112
P48240
Q12325
P40096
P26448
P37838
Q06217
P40098
P32337
Q04868
Q08273
P39731
P40344
Q08471
Q08822
Q12125
P38299
P08964
Q12464
P40015
Q03049
P20424
P12294
P32522
P38331
Q08412
P40536
P27895
P53076
P15891
P25655
P53891
P36019
P53830
P53045
P38763
Q03652
P08566
Q03088
P40101
P38829
Q01590
P53725
P23639
Q04951
Q08162
P25344
P10356
P12688
Q08553
P38064
P38352
Q12390
P53135
P41819
P32501
Q08965
P18900
Q12680
P20052
P36148
P32842
P29547
P23501
Q04048
P38775
P19158
P52491
P38188
P38872
P53293
P21672
Q12168
P46982
P47015
Q12100
Q02732
P06783
P47064
P53883
Q06178
P47053
P53844
P53886
Q08931
P38749
P36102
P42838
P10659
Q99189
P32601
Q99332
P40028
P21827
Q12291
P38629
Q06704
Q06163
P06102
P32622
P25383
Q05809
P32827
P40892
P00812
P38152
P06844
Q12374
Q08300
Q12078
Q07508
P07274
Q03263
O13578
P36010
Q06350
P32914
P32349
Q08647
O13530
Q02203
Q05533
P19880
Q12004
Q12033
P39103
P04076
P53739
P23594
P23493
P47027
Q08956
Q01684
P40583
P53036
Q12059
P41058
P02400
Q99325
P23394
Q06820
P53875
P53305
P38074
P53732
P40327
P06105
Q07788
P54860
P38129
P43636
P53287
P26725
Q06449
P32494
P32830
P40013
P38316
P43597
P42947
P32589
Q07500
P53081
P17695
P50273
Q12415
P34077
P38339
P39945
P09798
P53733
P53074
P39715
P34217
Q07807
Q03103
P53188
P46961
P31377
P48582
P23542
Q12275
Q12339
P38788
P50896
Q03144
P30775
P39107
P38140
Q03714
Q06688
P29340
Q03761
Q06596
Q12192
Q08108
Q12133
P14242
P31115
P40510
P32353
P47168
Q05919
Q02983
P53272
P46672
Q12063
Q03081
P32179
P36064
P39709
Q04083
P05736
P40055
P53053
Q08952
P40516
P40155
P39923
P34234
Q03654
P43623
P36973
Q08963
P36123
P32892
Q12305
Q06409
P40362
P38721
Q01477
P36036
Q04081
Q05874
P39984
P11353
Q12483
Q12264
P00635
P25646
P36037
Q05854
P25369
P22139
Q03864
P47072
P20053
Q08975
P39967
Q04636
P42839
P38814
P36009
P32645
P40314
P07991
Q02455
P29509
P38725
Q05871
P0C0T4
P40489
P53252
P39943
Q12116
P38278
P07257
Q12426
P07263
Q04100
P38858
P06778
P53599
P38615
P15625
Q12308
P07807
P32639
P53538
P39526
P40528
P40303
Q08818
P32862
P43582
P36007
P39534
P12683
P25648
P33336
P17505
P53632
Q07629
P53749
Q03050
P46946
P25846
O14464
P41912
Q04372
P43561
P39904
Q12272
P07276
Q12230
Q03213
P25638
P39706
P29469
P07261
P38138
Q03788
Q04430
Q12442
P25611
P06781
P32450
P20051
Q06213
P20436
Q12134
P39975
P39714
P53244
P36083
P40482
Q04069
Q12333
P34251
P40107
P40897
P40439
O13531
P40070
P53197
Q04195
P40537
P38903
P53220
P38155
Q03419
P32793
P30624
P22803
P22134
P25384
P40486
P38716
P48415
P18238
Q12096
Q12147
P26783
P38362
Q08230
P35169
Q04370
Q08816
Q08241
P21965
Q06632
P53751
Q03533
P39546
Q05947
P32467
P32785
O93938
P39929
P33400
P05317
P28263
P10363
P40363
P38759
Q03048
P43321
P08678
Q05788
P47161
P53737
P32569
P53253
Q12412
P40368
P46984
P50275
P43586
Q12154
P16474
Q03899
Q12379
P36006
P47136
P12687
Q12496
P32802
P25337
P42833
P40186
P46958
P08638
P15624
Q07872
Q99326
P10566
P09201
P40555
P25619
O13518
P38077
P32916
P40360
P53897
Q03900
Q12460
P53096
Q07509
P53921
P32366
Q06525
P17709
Q07418
P47166
Q06160
P53379
P53855
P26755
P35180
P33411
Q12301
P19516
P43625
P48164
P35729
P32562
P25558
Q04344
Q99339
Q12297
Q12367
Q01163
P53917
P47821
P32335
P20081
P47082
P22943
P53061
P38284
P20967
Q08951
P07272
Q12421
P38902
P38205
Q06891
P53959
Q03254
P06779
Q12503
P53141
P38968
Q08743
Q99209
P33748
P04161
Q02754
P53068
P50944
Q12035
P02994
P54999
P32459
P53724
Q04004
P22215
P38253
P31380
P47181
O13566
Q06707
P32864
P26188
P36004
Q12509
P43544
P39990
P36090
P32591
P41834
Q04373
P38217
P36151
P36521
P40491
P38523
Q03648
Q06078
P53955
P32048
Q12248
P16387
P50111
P38355
P14180
Q08974
P20437
Q06815
P39015
Q08199
P38792
P43580
P39998
Q06813
P40095
Q08908
P32454
Q08986
P40494
P25270
P40088
Q02873
P53975
P53032
P38836
P47068
P36108
P22336
P04386
Q12513
P52871
Q06411
P43554
P04819
P38261
P38828
P29311
P25847
Q01846
Q06686
P38879
P00427
Q02792
P47104
P53551
Q99252
P39939
Q07794
P53146
Q07786
P53224
P38179
P32794
P38079
Q03780
P25808
P32838
P53193
Q06170
Q05911
P16467
Q00416
P21243
P47134
P39958
Q12174
P06780
P29461
P25616
P53963
P28625
P23641
P32800
P38787
P08431
P38862
Q06639
Q01589
Q02516
P40212
P39992
P32903
P40079
P39987
Q04201
P54791
P38752
P53858
Q12691
P48527
P36092
P38199
P38282
P40577
P40466
P22082
P40052
P21306
P47002
P17555
P32336
Q12181
P81450
P40059
P40020
Q06598
P53950
Q05931
Q3E7X9
Q08732
P53738
P07270
P22137
P27514
Q07622
P38185
P39972
P38695
P38081
Q04439
P35190
Q04398
P04806
P39935
P38703
Q07967
Q12424
Q05958
Q03954
P39717
Q06102
P23968
Q08686
P40562
P01119
Q04779
Q04062
P22148
P38722
P22517
Q06631
O13545
P08521
P53913
P10849
Q06137
P50943
P43551
Q06497
P38791
Q12056
P32580
P53148
P57743
P53167
Q99299
P39561
P14120
P38911
P39722
P53131
P13365
Q02354
Q99303
P46675
P38772
Q03516
Q12046
P40204
P05759
Q00582
P38957
P32527
P40085
Q07821
P36081
P39944
P36117
P47001
P39110
Q03661
P25453
P25332
Q12058
Q05779
P46367
P53077
Q03010
P38785
P47172
P32582
Q02196
P32899
P16639
P01097
P39742
P87269
Q08486
P32767
P40035
P40309
O94086
P07258
Q12021
P38427
P53173
O13548
P26343
Q99210
P25338
P02992
P15180
Q06144
P35817
P19736
Q04383
P24309
P30283
P25349
Q07895
P46996
P38555
P00359
Q12445
P31244
Q05867
P39993
P38070
O13583
P28496
P34216
P38303
Q04894
Q00453
P38873
Q08001
Q07878
Q04491
P47040
P52286
P33767
Q04947
P36775
P00560
P53040
P38796
Q04867
P12904
P39719
P53156
P53872
Q12361
P37304
P38203
Q03028
Q12311
P33334
Q05468
P13186
P32581
P39522
P41940
P49089
P47144
P45820
P38781
P53295
P25364
Q06563
P40557
Q07527
Q08285
P53342
Q07521
Q02336
P38728
Q7LIF1
P40507
Q06325
P53388
Q12066
Q12493
P53736
P38750
Q12136
P33313
P36060
P25656
P37898
Q02770
Q03792
Q04257
Q03018
P47026
Q04746
Q03612
P42939
P18852
P34162
P39973
Q01519
Q06139
Q12196
P39956
Q04991
P35209
P24279
P33895
P38995
P33442
P22515
P53289
P14164
Q06287
Q12241
P40524
P19097
P39006
Q08966
P32325
P29704
Q99382
P38840
Q04005
P40463
P52891
P14284
P53928
Q99287
Q08994
P53856
P40152
P23833
P33315
P35189
P40442
P43560
Q04179
Q12242
P40539
P23500
P32898
Q06709
