PROTEIN_U,PROTEIN_V,TOPO
YCR081W,YJL203W,0.0
YBL067C,YJL203W,0.0
YJL203W,YKR090W,0.0
YJL203W,YMR285C,0.0
YJL203W,YOL091W,0.0
YJL203W,YLR067C,0.0
YGR074W,YKL205W,0.0
YDR389W,YGR074W,0.0
YDR088C,YGR074W,0.0823398983285521
YBR043C,YGR074W,0.0
YGL202W,YGR074W,0.02577680286072396
YGR074W,YJR033C,0.0
YGR074W,YKL188C,0.0
YGR074W,YLR440C,0.0
YHR107C,YLR147C,0.0
YIL139C,YLR147C,0.0
YLR147C,YLR430W,0.07183162419723922
YLL021W,YLR147C,0.01051884102093056
YER029C,YLR147C,0.5243780641038466
YLR147C,YLR433C,0.0
YBR114W,YLR147C,0.0
YHR178W,YLR147C,0.0
YLR147C,YMR088C,0.0
YER029C,YNR053C,0.223203953388596
YDR422C,YER029C,0.0
YER029C,YLR220W,0.0
YER029C,YNL187W,0.0
YCL061C,YDL030W,0.0
YDL030W,YML049C,0.4221790823356975
YDL030W,YOR023C,0.0
YDL030W,YOR191W,0.0
YDL030W,YPL146C,0.0
YDL013W,YDL030W,0.0
YDL030W,YNR053C,0.20170890761416527
YDL030W,YOR017W,0.0
YDL030W,YML104C,0.0
YDL030W,YMR005W,0.0
YBR136W,YIR009W,0.0
YIR009W,YNL036W,0.0
YIR009W,YJL092W,0.0
YIL143C,YIR009W,0.0
YIR009W,YPL016W,0.0
YDL001W,YIR009W,0.0
YDR184C,YIR009W,0.0
YHR099W,YIR009W,0.0
YIR009W,YNL091W,0.0
YIR009W,YOR011W,0.0
YER032W,YLR456W,0.0
YIL144W,YLR456W,0.0
YKR084C,YLR456W,0.0
YLR456W,YNR053C,0.0
YLR335W,YNL189W,0.4296343451117193
YBR119W,YML016C,0.06669505556757514
YDL043C,YDR180W,0.0
YIR009W,YKL173W,0.09306704423925989
YFR002W,YLR178C,0.2823114515833154
YDR477W,YGL115W,0.4129210903182782
YBL026W,YJR022W,0.6783600174251078
YJR022W,YNL050C,0.0
YGR119C,YLR178C,0.26322384258378345
YIL061C,YOR275C,0.0
YHR209W,YOR319W,0.0
YDL161W,YLR116W,0.0
YKR080W,YLR147C,0.0
YIR009W,YLR433C,0.0
YGL172W,YLR178C,0.25523733310012203
YIL061C,YLR153C,0.0
YHR035W,YJR022W,0.0
YJR022W,YOR076C,0.0
YBR003W,YJR022W,0.0
YGL173C,YJR022W,0.2856708308486989
YJR022W,YNL118C,0.3609293098635866
YDL043C,YMR117C,0.17341545577449183
YHL007C,YJL203W,0.01043917102253234
YDL030W,YDR485C,0.0
YIR009W,YLR067C,0.0
YIR009W,YLR456W,0.0
YBR119W,YDR110W,0.18279328327934163
YDL043C,YDR386W,0.1215585165848715
YAL024C,YIR009W,0.0
YCL040W,YFL039C,0.16946982060634783
YFL039C,YLL050C,0.22655488477325691
YGL048C,YPL248C,0.0856759566647703
YDR216W,YDR448W,0.40329974353106934
YDR245W,YEL036C,0.6237295858999291
YBL084C,YFR036W,0.878089155456566
YDL008W,YNL172W,0.8475706506700045
YLL050C,YMR092C,0.20319619928169694
YDL226C,YDR264C,0.0
YDR376W,YIR024C,0.0
YMR138W,YOR070C,0.0
YGL201C,YIL150C,0.5984484274677502
YCL027W,YFL039C,0.01393472291429366
YJL183W,YJR075W,0.6357583497984415
YGR186W,YPL129W,0.28300022435131983
YDL132W,YGL249W,0.0
YCR050C,YDL017W,0.0
YFR008W,YMR052W,0.18934559469374998
YBR275C,YNL216W,0.03696376469829872
YDR103W,YLR362W,0.2554735738340168
YDL159W,YDR103W,0.21163798127664157
YBL016W,YDR103W,0.4507292526302809
YDR103W,YGR040W,0.23264193075951123
YGR040W,YLR362W,0.15567715472786095
YBL016W,YLR362W,0.30670477270274665
YDL159W,YGR040W,0.11926236907308287
YBL016W,YDL159W,0.26755663184354905
YGR040W,YHR084W,0.28780076506568325
YCL032W,YLR362W,0.16549136682308957
YOR101W,YOR351C,0.0
YCR084C,YCR096C,0.14465621690000238
YIL022W,YJR045C,0.04282093361887045
YIL022W,YOR232W,0.08618162418612582
YJR045C,YOR232W,0.13172486756386528
YDR103W,YOR212W,0.05464077518315454
YDR477W,YGL208W,0.2487242647028245
YDR477W,YJL089W,0.11925952599773339
YCR088W,YDR388W,0.3610649527252932
YCR088W,YNL138W,0.1959504807897953
YFL039C,YMR092C,0.08974800965162026
YDL178W,YFL039C,0.0
YFL039C,YLR319C,0.0
YFL039C,YOR122C,0.03288983833330645
YFL039C,YNL138W,0.2160208386662878
YBR200W,YFL039C,0.05441137426557069
YBR200W,YHL007C,0.47061563805047935
YLR229C,YNL271C,0.029621445666993054
YFL039C,YOR181W,0.18578848783278423
YDR129C,YOR181W,0.028836827540778404
YIL034C,YOR181W,0.0
YLL050C,YOR181W,0.07090390913475363
YBL007C,YOR181W,0.3821055580886217
YBR200W,YOR181W,0.02213936899369314
YNL271C,YOR122C,0.0
YIL159W,YOR122C,0.0
YIL159W,YKR055W,0.0
YOR122C,YOR363C,0.0
YFL039C,YHR023W,0.0324303130687487
YDR129C,YFL039C,0.049344364633049156
YFL039C,YNL243W,0.18773701716823887
YFL039C,YLR337C,0.07469404657049564
YDL165W,YDR448W,0.04644434954062435
YDR176W,YDR448W,0.7068000911202735
YDR176W,YER148W,0.5062151191232058
YDR448W,YGR252W,0.5147122375022626
YDR176W,YOL148C,0.6154372478467816
YBL005W,YDR176W,0.0
YDR448W,YEL009C,0.5550054162437905
YDR448W,YER148W,0.5271160949431455
YML051W,YPL248C,0.0
YER148W,YPL248C,0.3617107000856507
YDR448W,YPL248C,0.29228658972604393
YEL009C,YHR041C,0.3739547866970894
YDR308C,YEL009C,0.2656387333202719
YDR176W,YEL009C,0.6502377572562431
YEL009C,YMR236W,0.5177431234660367
YEL009C,YGL112C,0.4928927643366541
YBR198C,YEL009C,0.5692734261868158
YBR198C,YDR448W,0.6257197727958455
YDR176W,YMR236W,0.6216404364587207
YDR176W,YGL112C,0.6297851406600193
YBR198C,YDR176W,0.6331302244775993
YGR274C,YMR236W,0.5809143517288597
YBR198C,YGR274C,0.744705956862614
YDR448W,YHR099W,0.24243277054511456
YBR081C,YHR099W,0.3513288882839031
YBR081C,YDR176W,0.5883211067177944
YDR176W,YHR099W,0.2396836885041647
YBR198C,YDR216W,0.4380728523668937
YDR216W,YER148W,0.3315321704716521
YDR216W,YGR274C,0.3981809865603841
YDR216W,YGL112C,0.45823550202934266
YDR167W,YDR216W,0.45380721336733937
YDR448W,YPL254W,0.359797497506809
YDR176W,YPL254W,0.3925757592058783
YOL148C,YPL254W,0.44880641876439864
YGR252W,YPL254W,0.5053288122019632
YDR216W,YGR252W,0.3494491145524224
YDR216W,YPR086W,0.10269880515427839
YCR096C,YMR043W,0.39328398418831784
YHR084W,YMR043W,0.27190576452486237
YML115C,YPL050C,0.0
YBL084C,YLR127C,0.8583506086287639
YKL022C,YLR127C,0.8913038647155735
YHR166C,YLR127C,0.867377062576915
YER095W,YML032C,0.17857070688084442
YER095W,YGL163C,0.12083888646567911
YER179W,YOR191W,0.0
YNR003C,YPR190C,0.3834858993762215
YDL150W,YKR025W,0.6894781463086845
YNL113W,YPR110C,0.34209029115962614
YBR154C,YOR341W,0.2283066211099959
YBR154C,YDL140C,0.57806430105203
YBR154C,YOR116C,0.36470521113587256
YNL113W,YPR010C,0.3788385543248762
YIL021W,YNL113W,0.0
YDL140C,YGL070C,0.6199184087154268
YGL070C,YOR116C,0.19330249743122288
YDR045C,YOR207C,0.45401747575425394
YEL036C,YPL050C,0.0
YHR143W-A,YPR010C,0.0
YDL140C,YOR210W,0.2533257325890581
YOR151C,YOR210W,0.311470879367563
YGR047C,YGR246C,0.4768187623488311
YJR063W,YPR010C,0.5105800620470945
YIL021W,YOL005C,0.469996128698086
YOR210W,YPR010C,0.33506011860938145
YFR036W,YHR166C,0.8436015100422836
YLL036C,YMR213W,0.6973357539582317
YNL189W,YPL178W,0.25906476579673515
YKL022C,YOR249C,0.8872588204685988
YGL240W,YKL022C,0.8549320670180144
YKL022C,YLR102C,0.616255842695752
YDL008W,YKL022C,0.8872588204685988
YGL240W,YNL172W,0.8654237157810325
YHR166C,YNL172W,0.8448835594932272
YFR036W,YNL172W,0.8798514193638595
YBL084C,YNL172W,0.8742788192349967
YNL172W,YOR249C,0.8475706506700045
YDR118W,YNL172W,0.8475706506700044
YLR102C,YLR127C,0.6103260303763826
YGL240W,YLR127C,0.8459421471655967
YGL240W,YHR166C,0.8513454314732266
YHR166C,YLR102C,0.6131868065044679
YDL008W,YHR166C,0.8697837217691171
YHR166C,YOR249C,0.8697837217691171
YBL084C,YGL240W,0.8641140512559989
YBL084C,YDL008W,0.8459843568212901
YBL084C,YOR249C,0.8459843568212901
YBL084C,YDR118W,0.8459843568212901
YBR091C,YHR005C-A,0.2798827540696782
YDR264C,YJR086W,0.06378334247785415
YDR264C,YKL178C,0.0
YDR264C,YOR212W,0.09660153848409558
YDR103W,YDR264C,0.05714784004249049
YLR418C,YPL129W,0.30527420487436663
YBR279W,YPL129W,0.28950864827609085
YDL140C,YPL129W,0.2569964392600877
YOR290C,YPL129W,0.0
YGR005C,YPL129W,0.2041072779429579
YCR066W,YOR128C,0.0
YCR067C,YOR128C,0.0
YGR061C,YLR386W,0.0
YDR408C,YOR174W,0.04657632845485501
YDR408C,YGL127C,0.11173746994383936
YCR063W,YDR408C,0.0
YCR082W,YOR023C,0.0
YLR102C,YMR092C,0.0
YLR291C,YOL130W,0.0
YGL025C,YOL130W,0.0
YNL086W,YOL130W,0.0
YBR217W,YNR007C,0.07851753674720577
YGL180W,YPR185W,0.05684096251834448
YGR253C,YPR185W,0.0
YGR120C,YPR185W,0.12197885218442699
YBR217W,YPL149W,0.1004148055304713
YBR217W,YHR171W,0.11514916766823889
YHR171W,YNR007C,0.2603614871814967
YBL078C,YHR171W,0.45188230279384867
YKL135C,YPL259C,0.3495565165110668
YHL019C,YKL135C,0.5763666133596416
YCR093W,YDR376W,0.0
YDR106W,YHR129C,0.0
YKL130C,YPR020W,0.0
YGL126W,YPL161C,0.0
YIL163C,YPL161C,0.0
YLR049C,YPL161C,0.0
YDR099W,YLR267W,0.0
YBL043W,YDR099W,0.0
YER143W,YMR055C,0.0
YHR061C,YMR055C,0.24422914250764965
YGR153W,YMR055C,0.0
YOL139C,YOR276W,0.10435530593048688
YHL025W,YLR438W,0.0
YGR010W,YLR438W,0.21581777331982607
YLR328W,YLR438W,0.21581777331982607
YLR229C,YPL161C,0.2957997065381107
YDL135C,YLR229C,0.0
YGL155W,YKL019W,0.0
YDL017W,YDL132W,0.150456430145298
YDL132W,YDR328C,0.5591800807794863
YDL132W,YLR128W,0.0
YDL132W,YLR368W,0.1481812029654619
YDL132W,YDR285W,0.0
YDL017W,YDL160C,0.07975778696085273
YDL017W,YDR173C,0.0
YDL017W,YKL039W,0.0
YDL017W,YEL023C,0.0
YDL017W,YFR057W,0.0
